"EP1-BRN3B-RO"	"ROD200"	"Run1"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/EP1-BRN3B-RO"
"H9-BRN3B-RO"	"ROD200"	"Run1"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/H9-BRN3B-RO.isoforms.fa"
"hRGC"	"RGC"	"Run1"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/hRGC.isoforms.fa"
"DG-WT-hRGC"	"RGC"	"Run1"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/DG-WT-hRGC.isoforms.fa"
"H9-CRXROsD45"	"ROD45"	"Run2"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/H9-CRX_ROs_D45.isoforms.fa"
"EP1-WTROsD45"	"ROD45"	"Run2"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/EP1-WT_ROs_D45.isoforms.fa"
"YZ-3ThRGC"	"YZRGC"	"Run2"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/YZ-3T_hRGC.isoforms.fa"
"YZ-15ThRGC"	"YZRGC"	"Run2"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/YZ-15T_hRGC.isoforms.fa"
"H9-FT1"	"FT"	"Run3"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/H9-FT_1.isoforms.fa"
"H9-FT2"	"FT"	"Run3"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/H9-FT_2.isoforms.fa"
"H9-hRGC1"	"RGC"	"Run3"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/H9-hRGC_1.isoforms.fa"
"H9-hRGC2"	"RGC"	"Run3"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/H9-hRGC_2.isoforms.fa"
"EP1-WThRO2"	"ROD100"	"Run4"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/EP1-WT_hRO_2.isoforms.fa"
"H9-BRN3BhRO2"	"ROD100"	"Run4"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/H9-BRN3B_hRO_2.isoforms.fa"
"H9-CRXhRO2 "	"ROD100"	"Run4"	"/dcs04/hicks/data/sparthib/retina_lrs/06_quantification/flair2/collapsed_output/H9-CRX_hRO_2.isoforms.fa "
