gene_id	gene_name
ENSG00000165521	EML5
ENSG00000168843	FSTL5
ENSG00000139445	FOXN4
ENSG00000164318	EGFLAM
ENSG00000047617	ANO2
ENSG00000092200	RPGRIP1
ENSG00000102755	FLT1
ENSG00000111664	GNB3
ENSG00000112041	TULP1
ENSG00000159217	IGF2BP1
ENSG00000198570	RD3
ENSG00000008086	CDKL5
ENSG00000104888	SLC17A7
ENSG00000113522	RAD50
ENSG00000116703	PDC
ENSG00000226950	DANCR
ENSG00000272398	CD24
ENSG00000035499	DEPDC1B
ENSG00000082438	COBLL1
ENSG00000100504	PYGL
ENSG00000104237	RP1
ENSG00000105392	CRX
ENSG00000148600	CDHR1
ENSG00000176170	SPHK1
ENSG00000177182	CLVS1
ENSG00000182667	NTM
ENSG00000185518	SV2B
ENSG00000189221	MAOA
ENSG00000134602	STK26
ENSG00000011347	SYT7
ENSG00000168461	RAB31
ENSG00000106348	IMPDH1
ENSG00000144834	TAGLN3
ENSG00000173267	SNCG
ENSG00000109103	UNC119
ENSG00000053524	MCF2L2
ENSG00000108387	SEPTIN4
ENSG00000108387	NA
ENSG00000149489	ROM1
ENSG00000021645	NRXN3
ENSG00000070601	FRMPD1
ENSG00000112312	GMNN
ENSG00000116016	EPAS1
ENSG00000158445	KCNB1
ENSG00000160298	C21orf58
ENSG00000168309	FAM107A
ENSG00000184489	PTP4A3
ENSG00000187017	ESPN
ENSG00000225177	NA
ENSG00000225177	NHSL1-AS1
